,jobtitle,LS Title,LS Company,LS Profile - IT Decision Maker,LS Lead Job Functions,LS Company Industry,Industry Name,Industry,LS Lead Department,LS LeadScore - Decision Makers,LS Profile - Finance,LS Profile - Developer,LS Profile - IT Decision Maker - Office,LS Profile - IT Implementer,LS Profile - Marketing,LS Profile - Operations,LS Profile - Sales,LS Profile - PowerBI Anna,LS Profile - PowerBI Nancy
0,Analyst,Policy Research and Analyst,,0.0,IT Policy; Research,,,,R&D,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,30.0
1,"Director, Sales",Director of Sales,Technoprobe,0.0,Business Strategy; Software Development; Electrical Engineering,Computers & Electronics,,製造業 (非コンピュータ関連),Sales,,0.0,0.0,0.0,-1.0,0.0,0.0,90.0,30.0,90.0
2,"VP, Purchasing",Vice President,Advantest,0.0,President,Computers & Electronics,,,Management,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
3,Associate Director,"Associate Director, Global Alliance",Accenture,0.0,Business Strategy; Hardware Development; Business Partnering; Customer Service; Systems Architecture & Development; IT Process Management; Records Management; Channel Sales; Product; Vendor Management; Data Center; Risk Management; Corporate Development; Recruitment; Financial Risk Management; Business & Technology Solutions; Software Development; Cloud Computing; Unified Communications; Pre Sales; Account Management; Senior Management; Partner; Business Intelligence; Integration Management; Customer Success; Direct Sales; SaaS; Communications; Succession Management; Development Lifecycle; Professional Services; Solutions Selling; Sales Process; Project Management; Call Centers; Startup; CRM,Business Services,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
4,"Director, Information Technology Executive",President / Producer / Game Director,あまた株式会社,0.0,President; Gaming; Network Management; Content Marketing; Social Media; Interactive Marketing; Digital Marketing; Mobile; Creative Services; Design; Community Management; Software Development; Creative Direction; Content Management; Unity; Creative; Digital Media; News; Production; Journalism; Game Development; Startup; Creative Strategy,Software & Internet,,Software,Management,,0.0,30.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
